Term Name,L1,L2,L3,L4,L5,L6
INTERCEPT,0,0,0,0,0,0
V1,1,1,1,1,1,1
V2,1,1,1,1,1,1
V3,1,1,1,1,1,1
V4,1,1,1,1,1,1
V5,1,1,1,1,1,1
V6,1,1,1,1,1,1
|V1|,1,1,1,1,1,1
|V2|,1,1,1,1,1,1
|V3|,1,1,1,1,1,1
|V4|,1,1,1,1,1,1
|V5|,1,1,1,1,1,1
|V6|,1,1,1,1,1,1
V1*V1,1,1,1,1,1,1
V2*V2,1,1,1,1,1,1
V3*V3,1,1,1,1,1,1
V4*V4,1,1,1,1,1,1
V5*V5,1,1,1,1,1,1
V6*V6,1,1,1,1,1,1
V1*|V1|,1,1,1,1,1,1
V2*|V2|,1,1,1,1,1,1
V3*|V3|,1,1,1,1,1,1
V4*|V4|,1,1,1,1,1,1
V5*|V5|,1,1,1,1,1,1
V6*|V6|,1,1,1,1,1,1
V1*V2,1,1,1,1,1,1
V1*V3,1,1,1,1,1,1
V1*V4,1,1,1,1,1,1
V1*V5,1,1,1,1,1,1
V1*V6,1,1,1,1,1,1
V2*V3,1,1,1,1,1,1
V2*V4,1,1,1,1,1,1
V2*V5,1,1,1,1,1,1
V2*V6,1,1,1,1,1,1
V3*V4,1,1,1,1,1,1
V3*V5,1,1,1,1,1,1
V3*V6,1,1,1,1,1,1
V4*V5,1,1,1,1,1,1
V4*V6,1,1,1,1,1,1
V5*V6,1,1,1,1,1,1
|V1*V2|,1,1,1,1,1,1
|V1*V3|,1,1,1,1,1,1
|V1*V4|,1,1,1,1,1,1
|V1*V5|,1,1,1,1,1,1
|V1*V6|,1,1,1,1,1,1
|V2*V3|,1,1,1,1,1,1
|V2*V4|,1,1,1,1,1,1
|V2*V5|,1,1,1,1,1,1
|V2*V6|,1,1,1,1,1,1
|V3*V4|,1,1,1,1,1,1
|V3*V5|,1,1,1,1,1,1
|V3*V6|,1,1,1,1,1,1
|V4*V5|,1,1,1,1,1,1
|V4*V6|,1,1,1,1,1,1
|V5*V6|,1,1,1,1,1,1
V1*|V2|,1,1,1,1,1,1
V1*|V3|,1,1,1,1,1,1
V1*|V4|,1,1,1,1,1,1
V1*|V5|,1,1,1,1,1,1
V1*|V6|,1,1,1,1,1,1
V2*|V3|,1,1,1,1,1,1
V2*|V4|,1,1,1,1,1,1
V2*|V5|,1,1,1,1,1,1
V2*|V6|,1,1,1,1,1,1
V3*|V4|,1,1,1,1,1,1
V3*|V5|,1,1,1,1,1,1
V3*|V6|,1,1,1,1,1,1
V4*|V5|,1,1,1,1,1,1
V4*|V6|,1,1,1,1,1,1
V5*|V6|,1,1,1,1,1,1
|V1|*V2,1,1,1,1,1,1
|V1|*V3,1,1,1,1,1,1
|V1|*V4,1,1,1,1,1,1
|V1|*V5,1,1,1,1,1,1
|V1|*V6,1,1,1,1,1,1
|V2|*V3,1,1,1,1,1,1
|V2|*V4,1,1,1,1,1,1
|V2|*V5,1,1,1,1,1,1
|V2|*V6,1,1,1,1,1,1
|V3|*V4,1,1,1,1,1,1
|V3|*V5,1,1,1,1,1,1
|V3|*V6,1,1,1,1,1,1
|V4|*V5,1,1,1,1,1,1
|V4|*V6,1,1,1,1,1,1
|V5|*V6,1,1,1,1,1,1
V1*V1*V1,1,1,1,1,1,1
V2*V2*V2,1,1,1,1,1,1
V3*V3*V3,1,1,1,1,1,1
V4*V4*V4,1,1,1,1,1,1
V5*V5*V5,1,1,1,1,1,1
V6*V6*V6,1,1,1,1,1,1
|V1*V1*V1|,1,1,1,1,1,1
|V2*V2*V2|,1,1,1,1,1,1
|V3*V3*V3|,1,1,1,1,1,1
|V4*V4*V4|,1,1,1,1,1,1
|V5*V5*V5|,1,1,1,1,1,1
|V6*V6*V6|,1,1,1,1,1,1
V1*V2*V2,1,1,1,1,1,1
V1*V3*V3,1,1,1,1,1,1
V1*V4*V4,1,1,1,1,1,1
V1*V5*V5,1,1,1,1,1,1
V1*V6*V6,1,1,1,1,1,1
V2*V1*V1,1,1,1,1,1,1
V2*V3*V3,1,1,1,1,1,1
V2*V4*V4,1,1,1,1,1,1
V2*V5*V5,1,1,1,1,1,1
V2*V6*V6,1,1,1,1,1,1
V3*V1*V1,1,1,1,1,1,1
V3*V2*V2,1,1,1,1,1,1
V3*V4*V4,1,1,1,1,1,1
V3*V5*V5,1,1,1,1,1,1
V3*V6*V6,1,1,1,1,1,1
V4*V1*V1,1,1,1,1,1,1
V4*V2*V2,1,1,1,1,1,1
V4*V3*V3,1,1,1,1,1,1
V4*V5*V5,1,1,1,1,1,1
V4*V6*V6,1,1,1,1,1,1
V5*V1*V1,1,1,1,1,1,1
V5*V2*V2,1,1,1,1,1,1
V5*V3*V3,1,1,1,1,1,1
V5*V4*V4,1,1,1,1,1,1
V5*V6*V6,1,1,1,1,1,1
V6*V1*V1,1,1,1,1,1,1
V6*V2*V2,1,1,1,1,1,1
V6*V3*V3,1,1,1,1,1,1
V6*V4*V4,1,1,1,1,1,1
V6*V5*V5,1,1,1,1,1,1
V1*V2*V3,1,1,1,1,1,1
V1*V2*V4,1,1,1,1,1,1
V1*V2*V5,1,1,1,1,1,1
V1*V2*V6,1,1,1,1,1,1
V1*V3*V4,1,1,1,1,1,1
V1*V3*V5,1,1,1,1,1,1
V1*V3*V6,1,1,1,1,1,1
V1*V4*V5,1,1,1,1,1,1
V1*V4*V6,1,1,1,1,1,1
V1*V5*V6,1,1,1,1,1,1
V2*V3*V4,1,1,1,1,1,1
V2*V3*V5,1,1,1,1,1,1
V2*V3*V6,1,1,1,1,1,1
V2*V4*V5,1,1,1,1,1,1
V2*V4*V6,1,1,1,1,1,1
V2*V5*V6,1,1,1,1,1,1
V3*V4*V5,1,1,1,1,1,1
V3*V4*V6,1,1,1,1,1,1
V3*V5*V6,1,1,1,1,1,1
V4*V5*V6,1,1,1,1,1,1
